python_test,python_test_case,failure_family,r_fixture_file,r_fixture_case,intermediate_fields_available,coverage_status
tests/parity/test_boost.py,test_nns_boost_numeric_matches_r[None],NNS.boost,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,boost_numeric,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_boost.py,test_nns_boost_numeric_matches_r[1],NNS.boost,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,boost_numeric,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_multivariate_regression.py,test_nns_m_reg_matches_r[50-2-linear-None-None-None-False-off],multivariate regression,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,numeric_l2_default,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_multivariate_regression.py,test_nns_m_reg_matches_r[50-3-nonlinear-1-1-point_est1-False-off],multivariate regression,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,numeric_l2_default,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_boost.py,test_nns_boost_numeric_matches_r[2],NNS.boost,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,boost_numeric,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_multivariate_regression.py,test_nns_m_reg_matches_r[200-3-mixed-2-2-None-False-mean],multivariate regression,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,numeric_l2_default,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_multivariate_regression.py,test_nns_m_reg_matches_r[200-5-linear-max-None-None-False-median],multivariate regression,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,numeric_order_max,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_boost.py,test_nns_boost_ivs_test_none_matches_r,NNS.boost,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,boost_class_pred_int,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_multivariate_regression.py,test_nns_m_reg_matches_r[50-2-nonlinear-1-1-point_est4-True-off],multivariate regression,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,numeric_l2_default,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_multivariate_regression.py,test_nns_m_reg_confidence_interval_matches_r[2-0.8-None-None-None],multivariate regression,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,numeric_l2_default,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_multivariate_regression.py,test_nns_m_reg_confidence_interval_matches_r[3-0.95-None-2-None],multivariate regression,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,numeric_l2_default,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_multivariate_regression.py,test_nns_m_reg_confidence_interval_matches_r[2-0.95-1-1-point_est2],multivariate regression,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,numeric_l2_default,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_multivariate_regression.py,test_nns_m_reg_confidence_interval_matches_r[3-0.8-2-2-point_est3],multivariate regression,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,numeric_l2_default,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_multivariate_regression.py,test_nns_m_reg_classification_matches_r[2-classes0-point_est0-1-1],multivariate regression,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,multiclass,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_multivariate_regression.py,test_nns_m_reg_classification_matches_r[2-classes0-point_est0-1-2],multivariate regression,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,multiclass,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_multivariate_regression.py,test_nns_m_reg_classification_matches_r[3-classes1-point_est1-2-1],multivariate regression,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,multiclass,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_multivariate_regression.py,test_nns_m_reg_classification_matches_r[3-classes1-point_est1-2-2],multivariate regression,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,multiclass,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_multivariate_regression.py,test_nns_m_reg_class_confidence_interval_matches_r[2-classes0-point_est0-1-1],multivariate regression,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,multiclass,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_multivariate_regression.py,test_nns_m_reg_class_confidence_interval_matches_r[2-classes0-point_est0-1-2],multivariate regression,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,multiclass,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_multivariate_regression.py,test_nns_m_reg_class_confidence_interval_matches_r[3-classes1-point_est1-2-1],multivariate regression,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,multiclass,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_multivariate_regression.py,test_nns_m_reg_class_confidence_interval_matches_r[3-classes1-point_est1-2-2],multivariate regression,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,multiclass,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
