method,marg_cov,worst_win_cov,cov_lowvol,cov_hivol,cond_cov_gap,width,interval_score,CRPS,logscore
NNS native PI,0.8476688102893891,0.67,0.9131832797427653,0.8070739549839229,0.09453376205787789,5.3336289551117595,8.347311881079282,1.0521806181725764,1.9988765275223412
NNS + split-CP (flat),0.8271704180064309,0.58,0.8954983922829582,0.8311897106109325,0.14919614147909965,5.227161385540743,8.534113534345261,1.0564514057462153,2.047717813637678
NNS + split-CP (per-lead),0.8886655948553055,0.65,0.9839228295819936,0.8086816720257235,0.09131832797427653,7.846909211270708,10.496079109394278,1.140506122590597,2.250303555178376
NNS + Gaussian (flat),0.8295819935691319,0.58,0.8858520900321544,0.8279742765273312,0.14276527331189715,5.220493265073913,8.535512774975702,1.0556550754409413,2.0458238791253365
NNS native PI,0.8287781350482315,0.52,0.9163987138263665,0.8617363344051447,0.2022508038585209,5.538396478733216,9.039315486588494,1.1017051722008695,2.123941052068062
NNS + split-CP (flat),0.815112540192926,0.51,0.9067524115755627,0.8440514469453376,0.23118971061093252,5.423595785308306,9.16356799285496,1.1045221353056585,2.145312293713436
NNS + split-CP (per-lead),0.8830385852090032,0.6,0.9887459807073955,0.8295819935691319,0.12025723472668814,7.990812843044477,10.886441408223009,1.185924631575878,2.292922429135039
NNS + Gaussian (flat),0.8163183279742765,0.52,0.9163987138263665,0.8408360128617364,0.23118971061093252,5.371605324250339,9.132929020698203,1.1034425720507015,2.1344452670414986
NNS native PI,0.8480707395498392,0.54,0.9453376205787781,0.8713826366559485,0.14115755627009652,5.498313881263709,8.568987367833104,1.0769091090418628,2.088025725407269
NNS + split-CP (flat),0.8348070739549839,0.47,0.9115755627009646,0.8858520900321544,0.16366559485530552,5.475440096762711,8.646211618108355,1.0779606714369134,2.1374529629188985
NNS + split-CP (per-lead),0.889871382636656,0.49,0.9758842443729904,0.8697749196141479,0.11061093247588427,7.666059526775997,10.240968683617762,1.1422851084449035,2.299705192621768
NNS + Gaussian (flat),0.8340032154340836,0.47,0.905144694533762,0.8681672025723473,0.17009646302250803,5.3825939727945,8.623802541408669,1.0773609694299997,2.127147377666515
NNS native PI,0.8404340836012861,0.55,0.9469453376205788,0.8762057877813505,0.17009646302250803,5.417943415993259,8.509212166486481,1.0513799372860273,2.0645442083490733
NNS + split-CP (flat),0.8183279742765274,0.51,0.8858520900321544,0.8569131832797428,0.15241157556270102,5.073486836478882,8.35866609307891,1.0468951694182635,2.0402247395377504
NNS + split-CP (per-lead),0.8971061093247589,0.59,0.9790996784565916,0.8553054662379421,0.08006430868167203,7.868177918914598,10.290785210091181,1.1317381317261397,2.2247260687632786
NNS + Gaussian (flat),0.8207395498392283,0.54,0.8697749196141479,0.8569131832797428,0.13151125401929264,5.187680907668864,8.312439020985863,1.0459231999241414,2.026847378341962
NNS native PI,0.8472668810289389,0.51,0.9405144694533762,0.7733118971061094,0.12668810289389065,5.912994900178406,8.952518643444352,1.1094460776961108,2.105079957413961
NNS + split-CP (flat),0.8243569131832797,0.58,0.9067524115755627,0.7765273311897106,0.15401929260450165,5.307560736619756,8.610536381423858,1.099087789113522,2.0849945815307396
NNS + split-CP (per-lead),0.8866559485530546,0.6,0.9823151125401929,0.7845659163987139,0.11543408360128615,7.9404115839516605,10.336416034686959,1.1735005767309783,2.2413111688768863
NNS + Gaussian (flat),0.8171221864951769,0.57,0.887459807073955,0.7733118971061094,0.1508038585209004,5.2117633612580585,8.673499632507543,1.0995952439049514,2.1011013227051474
NNS native PI,0.860128617363344,0.58,0.9501607717041801,0.8906752411575563,0.15562700964630227,5.662363541166043,8.391587116904702,1.0718817368677682,2.0521000120264206
NNS + split-CP (flat),0.8243569131832797,0.37,0.887459807073955,0.8745980707395499,0.14919614147909965,5.3533136605690315,8.60722523849902,1.0765820133621553,2.1197718297356456
NNS + split-CP (per-lead),0.8922829581993569,0.6,0.9871382636655949,0.8778135048231511,0.09453376205787789,7.897905901117482,10.200940248313179,1.1494769211085452,2.242593936246776
NNS + Gaussian (flat),0.8247588424437299,0.37,0.9019292604501608,0.8729903536977492,0.15241157556270102,5.31108027242601,8.649115111814341,1.0773573984920315,2.1247815699699717
NNS native PI,0.8432475884244373,0.62,0.9019292604501608,0.8408360128617364,0.10900321543408364,5.958905251551655,8.884737288789054,1.1533883414727397,2.112495798167121
NNS + split-CP (flat),0.802652733118971,0.55,0.9019292604501608,0.8344051446945338,0.18778135048231515,5.514395594522053,9.282531631715036,1.1632614958510543,2.169479165301043
NNS + split-CP (per-lead),0.8882636655948553,0.62,0.9823151125401929,0.842443729903537,0.08231511254019286,8.567512061462239,11.159806161705042,1.2453577968361804,2.3305953801588606
NNS + Gaussian (flat),0.7930064308681672,0.54,0.887459807073955,0.8215434083601286,0.1958199356913184,5.443032862596285,9.404878484224922,1.165957599219953,2.1892321453449055
NNS native PI,0.8404340836012861,0.42,0.9501607717041801,0.8665594855305466,0.19742765273311902,5.533785215198311,8.749410650539787,1.0714713083435363,2.076368446829223
NNS + split-CP (flat),0.8336012861736335,0.47,0.9212218649517685,0.8488745980707395,0.16045016077170415,5.394905745099468,8.708916464271185,1.069461483415126,2.071863509791649
NNS + split-CP (per-lead),0.8858520900321544,0.49,0.9887459807073955,0.837620578778135,0.11382636655948553,7.695935282614414,10.322007696267946,1.145102489810678,2.2482944871036135
NNS + Gaussian (flat),0.8211414790996785,0.46,0.9115755627009646,0.8408360128617364,0.18135048231511253,5.203825372900099,8.80921517840864,1.071527536672299,2.088411117524039
NNS native PI,0.8484726688102894,0.58,0.905144694533762,0.8778135048231511,0.13151125401929264,6.028058412975543,8.799144860895987,1.1309121052212678,2.0927473976307103
NNS + split-CP (flat),0.8311897106109325,0.52,0.887459807073955,0.8697749196141479,0.1620578778135049,5.725218656291451,8.758728314500287,1.130064761156996,2.113226263951555
NNS + split-CP (per-lead),0.8914790996784566,0.53,0.977491961414791,0.8569131832797428,0.09292604501607715,8.23717370280603,10.704707152434425,1.212676341149698,2.3029740791509625
NNS + Gaussian (flat),0.8255627009646302,0.52,0.8858520900321544,0.8569131832797428,0.1620578778135049,5.649387814291777,8.818937346230603,1.1313117903011027,2.117039408279818
NNS native PI,0.8476688102893891,0.62,0.9019292604501608,0.860128617363344,0.1572347266881029,5.69808899719474,8.493411469371221,1.0828624333564756,2.046419721223251
NNS + split-CP (flat),0.8319935691318328,0.59,0.8890675241157556,0.8762057877813505,0.17652733118971065,5.482468614284766,8.675839888968568,1.0856801348147251,2.0865280978950644
NNS + split-CP (per-lead),0.8979099678456591,0.65,0.9839228295819936,0.8745980707395499,0.0897106109324759,8.242584168402129,10.569179146091031,1.166057643863629,2.24561779290906
NNS + Gaussian (flat),0.8247588424437299,0.59,0.8890675241157556,0.8617363344051447,0.1845659163987139,5.339542905768758,8.766021670973783,1.0879995420615687,2.0935035802978836
