method,marg_cov,worst_win_cov,width,interval_score
NNS native PI,0.8476688102893891,0.67,5.3336289551117595,8.347311881079282
NNS block + CP,0.8906752411575563,0.22,8.177099486196127,11.529523035347692
Ridge (recursive) + CP,0.8372186495176849,0.1,10.278876556971408,16.046670825709686
Persistence + CP,0.8436495176848875,0.0,10.213249743026658,16.33320386075765
NNS native PI,0.8287781350482315,0.52,5.538396478733216,9.039315486588494
NNS block + CP,0.8902733118971061,0.37,8.390728807696368,11.499697971060435
Ridge (recursive) + CP,0.7990353697749196,0.08,9.39395853105691,15.636645535901216
Persistence + CP,0.8581189710610932,0.0,11.002413778926346,16.322217439495994
NNS native PI,0.8480707395498392,0.54,5.498313881263709,8.568987367833104
NNS block + CP,0.8870578778135049,0.32,7.850041608639307,10.881610133044617
Ridge (recursive) + CP,0.8331993569131833,0.03,9.461311846092478,15.290577454252144
Persistence + CP,0.8388263665594855,0.0,13.454901313710085,20.728177627283294
NNS native PI,0.8404340836012861,0.55,5.417943415993259,8.509212166486481
NNS block + CP,0.8971061093247589,0.18,8.178784348833949,11.442682746189892
Ridge (recursive) + CP,0.842443729903537,0.21,9.937090055812732,15.019945691471802
Persistence + CP,0.9091639871382636,0.0,14.085426811335523,22.670411720818084
NNS native PI,0.8472668810289389,0.51,5.912994900178406,8.952518643444352
NNS block + CP,0.8979099678456591,0.27,8.346058510609698,11.244196033911283
Ridge (recursive) + CP,0.8336012861736335,0.13,9.626844810715227,14.755633310870019
Persistence + CP,0.9011254019292605,0.0,11.723029193525093,15.965745582710372
NNS native PI,0.860128617363344,0.58,5.662363541166043,8.391587116904702
NNS block + CP,0.8922829581993569,0.25,8.141163390003173,11.244453556266834
Ridge (recursive) + CP,0.8420418006430869,0.25,9.708049657419254,14.244410697181051
Persistence + CP,0.8942926045016077,0.0,15.174974529034394,25.340887411818077
NNS native PI,0.8432475884244373,0.62,5.958905251551655,8.884737288789054
NNS block + CP,0.9115755627009646,0.41,9.046462585915824,11.49001377083638
Ridge (recursive) + CP,0.8512861736334405,0.13,10.192315755071641,15.29971782370236
Persistence + CP,0.8110932475884244,0.0,11.285499121470306,19.764628557431646
NNS native PI,0.8404340836012861,0.42,5.533785215198311,8.749410650539787
NNS block + CP,0.8854501607717041,0.21,7.999981741192585,11.219855763022137
Ridge (recursive) + CP,0.8283762057877814,0.1,9.51494956048423,14.79895664009931
Persistence + CP,0.8802250803858521,0.0,9.804629243119559,14.085680509142973
NNS native PI,0.8484726688102894,0.58,6.028058412975543,8.799144860895987
NNS block + CP,0.8959003215434084,0.46,8.40742772515753,11.10618124347616
Ridge (recursive) + CP,0.8259646302250804,0.06,9.845777723130777,15.51537851501687
Persistence + CP,0.8046623794212219,0.0,9.304325751647738,16.85406180705558
NNS native PI,0.8476688102893891,0.62,5.69808899719474,8.493411469371221
NNS block + CP,0.8946945337620579,0.19,8.52666065619013,11.736354029728231
Ridge (recursive) + CP,0.8545016077170418,0.15,10.233185885906426,15.281590619137305
Persistence + CP,0.854903536977492,0.0,10.960001704284322,18.678114408344804
