method,MAE,RMSE,median_AE
NNS block,1.4624613757188,2.0095523514648352,1.0714033811834391
Ridge (recursive),2.7093079489173206,3.2849148002794246,2.4276541206659417
Persistence,2.5207425403649664,3.1838137342389228,2.0779938586077042
NNS block,1.5179195200934121,2.0875213420368293,1.105426032360385
Ridge (recursive),2.8282510401794556,3.3952268823991485,2.5875729210928973
Persistence,2.3736672434422657,3.040742657230395,1.8980380282638447
NNS block,1.4996940127463412,2.00757652089875,1.115767753513877
Ridge (recursive),2.5709301773652182,3.1339434936155377,2.335881443966338
Persistence,2.9117732238980736,3.794140173915152,2.234972066371844
NNS block,1.4593534764791098,2.001246583495766,1.0864650913903005
Ridge (recursive),2.6298954565866794,3.190132803482008,2.3755657648263804
Persistence,2.4740376467312735,3.304377116943708,1.9953112501835901
NNS block,1.5271989128921286,2.049606520740077,1.1602056950481388
Ridge (recursive),2.596901417871215,3.1481544415297216,2.3307565425306667
Persistence,2.3415372011880113,2.992295950923396,1.9604867694701609
NNS block,1.4920674612633236,2.008429290064173,1.1172318673345731
Ridge (recursive),2.614711558422066,3.1746112295444617,2.308934798983637
Persistence,2.6319063703191286,3.543647928791187,2.0564798773344357
NNS block,1.6060225425685897,2.1818865891046224,1.1965950466152333
Ridge (recursive),2.717725103031881,3.295389524149246,2.4449283484676214
Persistence,2.6267172703935375,3.4629309634408636,1.9490510884493548
NNS block,1.4824820449499643,2.0065783979058245,1.1035396755182818
Ridge (recursive),2.6981442061600074,3.249449182036675,2.5191619066463744
Persistence,2.16538422214265,2.7236495214185332,1.867662248183055
NNS block,1.5806024483770957,2.126087726777259,1.1775229045548874
Ridge (recursive),2.6103148900670363,3.1982342648198507,2.298518235730201
Persistence,2.4716622184905397,3.181652504844425,1.9899147900891014
NNS block,1.5082094770678165,2.0784402644487474,1.086703233620384
Ridge (recursive),2.6685510174360134,3.2345452843814164,2.3992658005209986
Persistence,2.4154745438686924,3.1869027705175195,1.8810243063888008
